Year,Age,Sex,Population
1950,00,Male,31.4
1950,00,Female,29.7
1950,01-04,Male,127.5
1950,01-04,Female,121.6
1950,05-09,Male,142.3
1950,05-09,Female,136.6
1950,10-14,Male,133.4
1950,10-14,Female,128.7
1950,15-19,Male,126.6
1950,15-19,Female,117.4
1950,20-24,Male,108.3
1950,20-24,Female,100.3
1950,25-29,Male,100.9
1950,25-29,Female,100.2
1950,30-34,Male,98.3
1950,30-34,Female,96.5
1950,35-39,Male,101.8
1950,35-39,Female,98.0
1950,40-44,Male,92.4
1950,40-44,Female,85.5
1950,45-49,Male,83.6
1950,45-49,Female,80.2
1950,50-54,Male,80.6
1950,50-54,Female,77.8
1950,55-59,Male,65.8
1950,55-59,Female,64.6
1950,60-64,Male,61.3
1950,60-64,Female,60.6
1950,65-69,Male,55.2
1950,65-69,Female,54.1
1950,70-74,Male,49.5
1950,70-74,Female,50.9
1950,75-79,Male,31.4
1950,75-79,Female,32.6
1950,80-84,Male,14.2
1950,80-84,Female,15.9
1950,85+,Male,5.5
1950,85+,Female,7.8
1951,00,Male,32.6
1951,00,Female,30.9
1951,01-04,Male,127.6
1951,01-04,Female,121.7
1951,05-09,Male,143.5
1951,05-09,Female,137.6
1951,10-14,Male,132.7
1951,10-14,Female,128.2
1951,15-19,Male,125.7
1951,15-19,Female,115.4
1951,20-24,Male,105.4
1951,20-24,Female,96.8
1951,25-29,Male,99.6
1951,25-29,Female,98.8
1951,30-34,Male,96.4
1951,30-34,Female,95.1
1951,35-39,Male,102.3
1951,35-39,Female,98.6
1951,40-44,Male,94.0
1951,40-44,Female,86.3
1951,45-49,Male,82.4
1951,45-49,Female,78.5
1951,50-54,Male,82.9
1951,50-54,Female,80.1
1951,55-59,Male,65.0
1951,55-59,Female,63.8
1951,60-64,Male,61.3
1951,60-64,Female,60.7
1951,65-69,Male,54.1
1951,65-69,Female,53.4
1951,70-74,Male,49.1
1951,70-74,Female,51.0
1951,75-79,Male,31.6
1951,75-79,Female,32.9
1951,80-84,Male,14.6
1951,80-84,Female,16.2
1951,85+,Male,5.5
1951,85+,Female,7.8
1952,00,Male,31.5
1952,00,Female,30.4
1952,01-04,Male,127.2
1952,01-04,Female,121.2
1952,05-09,Male,145.5
1952,05-09,Female,139.2
1952,10-14,Male,134.6
1952,10-14,Female,130.0
1952,15-19,Male,125.0
1952,15-19,Female,114.7
1952,20-24,Male,102.8
1952,20-24,Female,95.0
1952,25-29,Male,96.6
1952,25-29,Female,96.3
1952,30-34,Male,94.6
1952,30-34,Female,94.0
1952,35-39,Male,99.8
1952,35-39,Female,97.5
1952,40-44,Male,94.2
1952,40-44,Female,87.3
1952,45-49,Male,83.9
1952,45-49,Female,79.7
1952,50-54,Male,81.6
1952,50-54,Female,78.4
1952,55-59,Male,67.6
1952,55-59,Female,66.2
1952,60-64,Male,60.7
1952,60-64,Female,60.5
1952,65-69,Male,54.4
1952,65-69,Female,53.5
1952,70-74,Male,48.4
1952,70-74,Female,50.4
1952,75-79,Male,31.8
1952,75-79,Female,33.1
1952,80-84,Male,14.8
1952,80-84,Female,16.5
1952,85+,Male,5.9
1952,85+,Female,8.1
1953,00,Male,30.8
1953,00,Female,29.3
1953,01-04,Male,126.7
1953,01-04,Female,121.4
1953,05-09,Male,147.7
1953,05-09,Female,140.8
1953,10-14,Male,136.7
1953,10-14,Female,131.9
1953,15-19,Male,124.5
1953,15-19,Female,114.1
1953,20-24,Male,100.4
1953,20-24,Female,93.3
1953,25-29,Male,93.8
1953,25-29,Female,93.9
1953,30-34,Male,92.9
1953,30-34,Female,92.9
1953,35-39,Male,97.5
1953,35-39,Female,96.6
1953,40-44,Male,94.6
1953,40-44,Female,88.4
1953,45-49,Male,85.5
1953,45-49,Female,80.9
1953,50-54,Male,80.5
1953,50-54,Female,76.8
1953,55-59,Male,70.2
1953,55-59,Female,68.6
1953,60-64,Male,60.2
1953,60-64,Female,60.3
1953,65-69,Male,54.9
1953,65-69,Female,53.7
1953,70-74,Male,47.8
1953,70-74,Female,49.9
1953,75-79,Male,32.1
1953,75-79,Female,33.3
1953,80-84,Male,14.9
1953,80-84,Female,16.7
1953,85+,Male,6.2
1953,85+,Female,8.3
1954,00,Male,30.6
1954,00,Female,29.5
1954,01-04,Male,125.6
1954,01-04,Female,120.2
1954,05-09,Male,149.7
1954,05-09,Female,142.3
1954,10-14,Male,138.5
1954,10-14,Female,133.6
1954,15-19,Male,123.8
1954,15-19,Female,113.3
1954,20-24,Male,97.9
1954,20-24,Female,91.5
1954,25-29,Male,90.9
1954,25-29,Female,91.3
1954,30-34,Male,91.1
1954,30-34,Female,91.7
1954,35-39,Male,95.1
1954,35-39,Female,95.5
1954,40-44,Male,94.8
1954,40-44,Female,89.3
1954,45-49,Male,87.0
1954,45-49,Female,82.0
1954,50-54,Male,79.3
1954,50-54,Female,75.1
1954,55-59,Male,72.7
1954,55-59,Female,70.9
1954,60-64,Male,59.7
1954,60-64,Female,60.0
1954,65-69,Male,55.2
1954,65-69,Female,53.8
1954,70-74,Male,47.1
1954,70-74,Female,49.2
1954,75-79,Male,32.3
1954,75-79,Female,33.5
1954,80-84,Male,15.1
1954,80-84,Female,17.0
1954,85+,Male,6.6
1954,85+,Female,8.5
