"Statistic","Year","Age Group","Sex","UNIT","VALUE"
"Population Estimates (Persons in April)","1950","Under 1 year","Both sexes","Thousand","61.1"
"Population Estimates (Persons in April)","1950","Under 1 year","Male","Thousand","31.4"
"Population Estimates (Persons in April)","1950","Under 1 year","Female","Thousand","29.7"
"Population Estimates (Persons in April)","1950","0 - 4 years","Both sexes","Thousand",""
"Population Estimates (Persons in April)","1950","0 - 4 years","Male","Thousand",""
"Population Estimates (Persons in April)","1950","0 - 4 years","Female","Thousand",""
"Population Estimates (Persons in April)","1950","0 - 14 years","Both sexes","Thousand","851.2"
"Population Estimates (Persons in April)","1950","0 - 14 years","Male","Thousand","434.6"
"Population Estimates (Persons in April)","1950","0 - 14 years","Female","Thousand","416.6"
"Population Estimates (Persons in April)","1950","1 - 4 years","Both sexes","Thousand","249.1"
"Population Estimates (Persons in April)","1950","1 - 4 years","Male","Thousand","127.5"
"Population Estimates (Persons in April)","1950","1 - 4 years","Female","Thousand","121.6"
"Population Estimates (Persons in April)","1950","5 - 9 years","Both sexes","Thousand","278.9"
"Population Estimates (Persons in April)","1950","5 - 9 years","Male","Thousand","142.3"
"Population Estimates (Persons in April)","1950","5 - 9 years","Female","Thousand","136.6"
"Population Estimates (Persons in April)","1950","10 - 14 years","Both sexes","Thousand","262.1"
"Population Estimates (Persons in April)","1950","10 - 14 years","Male","Thousand","133.4"
"Population Estimates (Persons in April)","1950","10 - 14 years","Female","Thousand","128.7"
"Population Estimates (Persons in April)","1950","15 - 19 years","Both sexes","Thousand","244"
"Population Estimates (Persons in April)","1950","15 - 19 years","Male","Thousand","126.6"
"Population Estimates (Persons in April)","1950","15 - 19 years","Female","Thousand","117.4"
"Population Estimates (Persons in April)","1950","15 - 24 years","Both sexes","Thousand","452.6"
"Population Estimates (Persons in April)","1950","15 - 24 years","Male","Thousand","234.9"
"Population Estimates (Persons in April)","1950","15 - 24 years","Female","Thousand","217.7"
"Population Estimates (Persons in April)","1950","15 years and over","Both sexes","Thousand","2117.8"
"Population Estimates (Persons in April)","1950","15 years and over","Male","Thousand","1075.4"
"Population Estimates (Persons in April)","1950","15 years and over","Female","Thousand","1042.4"
"Population Estimates (Persons in April)","1950","20 - 24 years","Both sexes","Thousand","208.6"
"Population Estimates (Persons in April)","1950","20 - 24 years","Male","Thousand","108.3"
"Population Estimates (Persons in April)","1950","20 - 24 years","Female","Thousand","100.3"
"Population Estimates (Persons in April)","1950","25 - 29 years","Both sexes","Thousand","201.1"
"Population Estimates (Persons in April)","1950","25 - 29 years","Male","Thousand","100.9"
"Population Estimates (Persons in April)","1950","25 - 29 years","Female","Thousand","100.2"
"Population Estimates (Persons in April)","1950","25 - 44 years","Both sexes","Thousand","773.6"
"Population Estimates (Persons in April)","1950","25 - 44 years","Male","Thousand","393.4"
"Population Estimates (Persons in April)","1950","25 - 44 years","Female","Thousand","380.2"
"Population Estimates (Persons in April)","1950","30 - 34 years","Both sexes","Thousand","194.8"
"Population Estimates (Persons in April)","1950","30 - 34 years","Male","Thousand","98.3"
"Population Estimates (Persons in April)","1950","30 - 34 years","Female","Thousand","96.5"
"Population Estimates (Persons in April)","1950","35 - 39 years","Both sexes","Thousand","199.8"
"Population Estimates (Persons in April)","1950","35 - 39 years","Male","Thousand","101.8"
"Population Estimates (Persons in April)","1950","35 - 39 years","Female","Thousand","98"
"Population Estimates (Persons in April)","1950","40 - 44 years","Both sexes","Thousand","177.9"
"Population Estimates (Persons in April)","1950","40 - 44 years","Male","Thousand","92.4"
"Population Estimates (Persons in April)","1950","40 - 44 years","Female","Thousand","85.5"
"Population Estimates (Persons in April)","1950","45 - 49 years","Both sexes","Thousand","163.8"
"Population Estimates (Persons in April)","1950","45 - 49 years","Male","Thousand","83.6"
"Population Estimates (Persons in April)","1950","45 - 49 years","Female","Thousand","80.2"
"Population Estimates (Persons in April)","1950","45 - 64 years","Both sexes","Thousand","574.5"
"Population Estimates (Persons in April)","1950","45 - 64 years","Male","Thousand","291.3"
"Population Estimates (Persons in April)","1950","45 - 64 years","Female","Thousand","283.2"
"Population Estimates (Persons in April)","1950","50 - 54 years","Both sexes","Thousand","158.4"
"Population Estimates (Persons in April)","1950","50 - 54 years","Male","Thousand","80.6"
"Population Estimates (Persons in April)","1950","50 - 54 years","Female","Thousand","77.8"
"Population Estimates (Persons in April)","1950","55 - 59 years","Both sexes","Thousand","130.4"
"Population Estimates (Persons in April)","1950","55 - 59 years","Male","Thousand","65.8"
"Population Estimates (Persons in April)","1950","55 - 59 years","Female","Thousand","64.6"
"Population Estimates (Persons in April)","1950","60 - 64 years","Both sexes","Thousand","121.9"
"Population Estimates (Persons in April)","1950","60 - 64 years","Male","Thousand","61.3"
"Population Estimates (Persons in April)","1950","60 - 64 years","Female","Thousand","60.6"
"Population Estimates (Persons in April)","1950","65 - 69 years","Both sexes","Thousand","109.3"
"Population Estimates (Persons in April)","1950","65 - 69 years","Male","Thousand","55.2"
"Population Estimates (Persons in April)","1950","65 - 69 years","Female","Thousand","54.1"
"Population Estimates (Persons in April)","1950","65 years and over","Both sexes","Thousand","317.1"
"Population Estimates (Persons in April)","1950","65 years and over","Male","Thousand","155.8"
"Population Estimates (Persons in April)","1950","65 years and over","Female","Thousand","161.3"
"Population Estimates (Persons in April)","1950","70 - 74 years","Both sexes","Thousand","100.4"
"Population Estimates (Persons in April)","1950","70 - 74 years","Male","Thousand","49.5"
"Population Estimates (Persons in April)","1950","70 - 74 years","Female","Thousand","50.9"
"Population Estimates (Persons in April)","1950","75 - 79 years","Both sexes","Thousand","64"
"Population Estimates (Persons in April)","1950","75 - 79 years","Male","Thousand","31.4"
"Population Estimates (Persons in April)","1950","75 - 79 years","Female","Thousand","32.6"
"Population Estimates (Persons in April)","1950","80 - 84 years","Both sexes","Thousand","30.1"
"Population Estimates (Persons in April)","1950","80 - 84 years","Male","Thousand","14.2"
"Population Estimates (Persons in April)","1950","80 - 84 years","Female","Thousand","15.9"
"Population Estimates (Persons in April)","1950","85 years and over","Both sexes","Thousand","13.3"
"Population Estimates (Persons in April)","1950","85 years and over","Male","Thousand","5.5"
"Population Estimates (Persons in April)","1950","85 years and over","Female","Thousand","7.8"
"Population Estimates (Persons in April)","1950","All ages","Both sexes","Thousand","2969"
"Population Estimates (Persons in April)","1950","All ages","Male","Thousand","1510"
"Population Estimates (Persons in April)","1950","All ages","Female","Thousand","1459"
"Population Estimates (Persons in April)","1951","Under 1 year","Both sexes","Thousand","63.6"
"Population Estimates (Persons in April)","1951","Under 1 year","Male","Thousand","32.6"
"Population Estimates (Persons in April)","1951","Under 1 year","Female","Thousand","30.9"
"Population Estimates (Persons in April)","1951","0 - 4 years","Both sexes","Thousand","312.9"
"Population Estimates (Persons in April)","1951","0 - 4 years","Male","Thousand","160"
"Population Estimates (Persons in April)","1951","0 - 4 years","Female","Thousand","152.6"
"Population Estimates (Persons in April)","1951","0 - 14 years","Both sexes","Thousand","854.8"
"Population Estimates (Persons in April)","1951","0 - 14 years","Male","Thousand","436.4"
"Population Estimates (Persons in April)","1951","0 - 14 years","Female","Thousand","418.4"
"Population Estimates (Persons in April)","1951","1 - 4 years","Both sexes","Thousand","249.3"
"Population Estimates (Persons in April)","1951","1 - 4 years","Male","Thousand","127.6"
"Population Estimates (Persons in April)","1951","1 - 4 years","Female","Thousand","121.7"
"Population Estimates (Persons in April)","1951","5 - 9 years","Both sexes","Thousand","281"
"Population Estimates (Persons in April)","1951","5 - 9 years","Male","Thousand","143.5"
"Population Estimates (Persons in April)","1951","5 - 9 years","Female","Thousand","137.6"
"Population Estimates (Persons in April)","1951","10 - 14 years","Both sexes","Thousand","260.9"
"Population Estimates (Persons in April)","1951","10 - 14 years","Male","Thousand","132.7"
"Population Estimates (Persons in April)","1951","10 - 14 years","Female","Thousand","128.2"
"Population Estimates (Persons in April)","1951","15 - 19 years","Both sexes","Thousand","241.2"
"Population Estimates (Persons in April)","1951","15 - 19 years","Male","Thousand","125.7"
"Population Estimates (Persons in April)","1951","15 - 19 years","Female","Thousand","115.4"
"Population Estimates (Persons in April)","1951","15 - 24 years","Both sexes","Thousand","443.4"
"Population Estimates (Persons in April)","1951","15 - 24 years","Male","Thousand","231.1"
"Population Estimates (Persons in April)","1951","15 - 24 years","Female","Thousand","212.2"
"Population Estimates (Persons in April)","1951","15 years and over","Both sexes","Thousand","2105.8"
"Population Estimates (Persons in April)","1951","15 years and over","Male","Thousand","1070.2"
"Population Estimates (Persons in April)","1951","15 years and over","Female","Thousand","1035.6"
"Population Estimates (Persons in April)","1951","20 - 24 years","Both sexes","Thousand","202.2"
"Population Estimates (Persons in April)","1951","20 - 24 years","Male","Thousand","105.4"
"Population Estimates (Persons in April)","1951","20 - 24 years","Female","Thousand","96.8"
"Population Estimates (Persons in April)","1951","25 - 29 years","Both sexes","Thousand","198.4"
"Population Estimates (Persons in April)","1951","25 - 29 years","Male","Thousand","99.6"
"Population Estimates (Persons in April)","1951","25 - 29 years","Female","Thousand","98.8"
"Population Estimates (Persons in April)","1951","25 - 44 years","Both sexes","Thousand","771.2"
"Population Estimates (Persons in April)","1951","25 - 44 years","Male","Thousand","392.3"
"Population Estimates (Persons in April)","1951","25 - 44 years","Female","Thousand","378.9"
"Population Estimates (Persons in April)","1951","30 - 34 years","Both sexes","Thousand","191.6"
"Population Estimates (Persons in April)","1951","30 - 34 years","Male","Thousand","96.4"
"Population Estimates (Persons in April)","1951","30 - 34 years","Female","Thousand","95.1"
"Population Estimates (Persons in April)","1951","35 - 39 years","Both sexes","Thousand","200.9"
"Population Estimates (Persons in April)","1951","35 - 39 years","Male","Thousand","102.3"
"Population Estimates (Persons in April)","1951","35 - 39 years","Female","Thousand","98.6"
"Population Estimates (Persons in April)","1951","40 - 44 years","Both sexes","Thousand","180.3"
"Population Estimates (Persons in April)","1951","40 - 44 years","Male","Thousand","94"
"Population Estimates (Persons in April)","1951","40 - 44 years","Female","Thousand","86.3"
"Population Estimates (Persons in April)","1951","45 - 49 years","Both sexes","Thousand","160.9"
